step: 000010, train_loss: 4.8211, gpu_time: 4.445693492889404
step: 000020, train_loss: 4.7886, gpu_time: 4.028508901596069
step: 000030, train_loss: 4.7470, gpu_time: 3.937471628189087
step: 000040, train_loss: 4.6271, gpu_time: 4.297759532928467
step: 000050, train_loss: 4.5739, gpu_time: 3.962052583694458
step: 000060, train_loss: 4.1992, gpu_time: 4.209094524383545
step: 000070, train_loss: 3.7703, gpu_time: 3.861510992050171
step: 000080, train_loss: 3.2348, gpu_time: 4.077179908752441
step: 000090, train_loss: 2.9640, gpu_time: 4.224060535430908
step: 000100, train_loss: 2.8994, gpu_time: 4.011653661727905
val_loss: 2.7541, full_seq_acc: 0.0000, word_acc: 0.0000
step: 000110, train_loss: 2.6913, gpu_time: 4.361259460449219
step: 000120, train_loss: 2.6508, gpu_time: 4.410576820373535
step: 000130, train_loss: 2.5352, gpu_time: 4.184103965759277
step: 000140, train_loss: 2.4514, gpu_time: 4.3489649295806885
step: 000150, train_loss: 2.3905, gpu_time: 4.084979295730591
step: 000160, train_loss: 2.2558, gpu_time: 4.7899017333984375
step: 000170, train_loss: 2.2492, gpu_time: 4.80552864074707
step: 000180, train_loss: 2.2133, gpu_time: 4.276922225952148
step: 000190, train_loss: 2.1623, gpu_time: 4.102633714675903
step: 000200, train_loss: 2.0679, gpu_time: 4.543437242507935
val_loss: 2.0672, full_seq_acc: 0.0000, word_acc: 0.0003
step: 000210, train_loss: 2.0498, gpu_time: 4.319783449172974
step: 000220, train_loss: 2.0372, gpu_time: 3.9887287616729736
step: 000230, train_loss: 1.9771, gpu_time: 4.292953014373779
step: 000240, train_loss: 1.9455, gpu_time: 4.450498342514038
step: 000250, train_loss: 1.9123, gpu_time: 4.158280372619629
step: 000260, train_loss: 1.9028, gpu_time: 4.120079040527344
step: 000270, train_loss: 1.8224, gpu_time: 4.630296468734741
step: 000280, train_loss: 1.8251, gpu_time: 4.147627830505371
step: 000290, train_loss: 1.8214, gpu_time: 4.026670217514038
step: 000300, train_loss: 1.7683, gpu_time: 4.245140314102173
val_loss: 1.7747, full_seq_acc: 0.0000, word_acc: 0.0129
step: 000310, train_loss: 1.7375, gpu_time: 4.144862651824951
step: 000320, train_loss: 1.7217, gpu_time: 4.029170274734497
step: 000330, train_loss: 1.6787, gpu_time: 4.244385480880737
step: 000340, train_loss: 1.6143, gpu_time: 4.544996023178101
step: 000350, train_loss: 1.6281, gpu_time: 3.8373141288757324
step: 000360, train_loss: 1.5617, gpu_time: 4.632732152938843
step: 000370, train_loss: 1.5694, gpu_time: 4.2364277839660645
step: 000380, train_loss: 1.4472, gpu_time: 4.555666208267212
step: 000390, train_loss: 1.4597, gpu_time: 3.9907660484313965
step: 000400, train_loss: 1.3891, gpu_time: 4.143303394317627
